stock_code,trading_days,date_span,completeness,max_gap,extreme_changes,max_zero_streak,avg_volume,start_date,end_date,score
000725.SZ,970,1457,0.665751544269046,11.0,0,0,5665247.569072165,2020-01-02,2023-12-29,587.9727039062603
600010.SH,970,1457,0.665751544269046,11.0,0,0,5583097.075257732,2020-01-02,2023-12-29,587.9697825185378
000100.SZ,970,1457,0.665751544269046,11.0,0,1,2911672.2917525773,2020-01-02,2023-12-29,587.8395793380045
601288.SH,970,1457,0.665751544269046,11.0,0,0,2627681.2195876287,2020-01-02,2023-12-29,587.81905418641
601899.SH,970,1457,0.665751544269046,11.0,0,0,2455227.357731959,2020-01-02,2023-12-29,587.805477706815
300059.SZ,970,1457,0.665751544269046,11.0,0,0,2383482.6907216497,2020-01-02,2023-12-29,587.7995463825625
600157.SH,970,1457,0.665751544269046,11.0,0,1,2362348.8855670104,2020-01-02,2023-12-29,587.797765119523
601668.SH,970,1457,0.665751544269046,11.0,0,0,2229470.9917525775,2020-01-02,2023-12-29,587.7861867084372
601398.SH,970,1457,0.665751544269046,11.0,0,0,2220646.8927835054,2020-01-02,2023-12-29,587.7853935513301
603993.SH,970,1457,0.665751544269046,11.0,0,0,2125223.6154639176,2020-01-02,2023-12-29,587.7766092515867
601099.SH,970,1457,0.665751544269046,11.0,0,0,1951760.8515463918,2020-01-02,2023-12-29,587.759580247603
600050.SH,970,1457,0.665751544269046,11.0,0,0,1785161.0608247423,2020-01-02,2023-12-29,587.7417355922474
000630.SZ,970,1457,0.665751544269046,11.0,0,10,1719814.669072165,2020-01-02,2023-12-29,587.7342771751373
601600.SH,970,1457,0.665751544269046,11.0,0,0,1714799.518556701,2020-01-02,2023-12-29,587.7336931035782
603077.SH,970,1457,0.665751544269046,11.0,0,0,1659644.3288659793,2020-01-02,2023-12-29,587.7271545363959
002131.SZ,970,1457,0.665751544269046,11.0,0,0,1655222.274226804,2020-01-02,2023-12-29,587.7266209336753
300459.SZ,970,1457,0.665751544269046,11.0,4,0,1647359.0010309278,2020-01-02,2023-12-29,587.725668553384
000656.SZ,970,1457,0.665751544269046,11.0,0,10,1637891.7670103093,2020-01-02,2023-12-29,587.7245158554462
600777.SH,970,1457,0.665751544269046,11.0,0,0,1614486.0577319588,2020-01-02,2023-12-29,587.7216372109325
002340.SZ,970,1457,0.665751544269046,11.0,0,0,1561321.3391752578,2020-01-02,2023-12-29,587.7149403750544
002195.SZ,970,1457,0.665751544269046,11.0,0,0,1473492.6226804124,2020-01-02,2023-12-29,587.7033609909854
000625.SZ,970,1457,0.665751544269046,11.0,0,0,1473254.2979381443,2020-01-02,2023-12-29,587.7033286401133
601988.SH,970,1457,0.665751544269046,11.0,0,0,1451117.1134020619,2020-01-02,2023-12-29,587.7003006263435
600028.SH,970,1457,0.665751544269046,11.0,0,0,1443155.9402061857,2020-01-02,2023-12-29,587.6992003586596
601857.SH,970,1457,0.665751544269046,11.0,0,0,1439794.287628866,2020-01-02,2023-12-29,587.6987339403723
601669.SH,970,1457,0.665751544269046,11.0,0,0,1391008.6412371134,2020-01-02,2023-12-29,587.6918397207643
002027.SZ,970,1457,0.665751544269046,11.0,0,0,1376049.9391752577,2020-01-02,2023-12-29,587.6896773036648
601162.SH,970,1457,0.665751544269046,11.0,0,6,1324024.068041237,2020-01-02,2023-12-29,587.68196903013
601618.SH,970,1457,0.665751544269046,11.0,0,0,1280447.5979381443,2020-01-02,2023-12-29,587.675275848684
002506.SZ,970,1457,0.665751544269046,11.0,0,0,1260827.7855670103,2020-01-02,2023-12-29,587.6721876061603
000564.SZ,970,1457,0.665751544269046,11.0,0,5,1245984.8329896908,2020-01-02,2023-12-29,587.6698191620114
601658.SH,970,1457,0.665751544269046,11.0,0,0,1210972.618556701,2020-01-02,2023-12-29,587.6641186878481
601818.SH,970,1457,0.665751544269046,11.0,0,0,1198293.237113402,2020-01-02,2023-12-29,587.6620135672449
600219.SH,970,1457,0.665751544269046,11.0,0,0,1182786.9546391752,2020-01-02,2023-12-29,587.6594086169849
600221.SH,970,1457,0.665751544269046,11.0,0,1,1181993.7721649485,2020-01-02,2023-12-29,587.6592744511701
000629.SZ,970,1457,0.665751544269046,11.0,0,0,1178005.737113402,2020-01-02,2023-12-29,587.6585985128146
002385.SZ,970,1457,0.665751544269046,11.0,0,0,1165672.6773195877,2020-01-02,2023-12-29,587.656493588686
600166.SH,970,1457,0.665751544269046,11.0,0,0,1154008.2092783505,2020-01-02,2023-12-29,587.6544821816226
600839.SH,970,1457,0.665751544269046,11.0,0,0,1151256.4340206184,2020-01-02,2023-12-29,587.6540047051324
600795.SH,970,1457,0.665751544269046,11.0,0,0,1148786.2701030928,2020-01-02,2023-12-29,587.6535751195921
600030.SH,970,1457,0.665751544269046,11.0,0,6,1113883.2237113402,2020-01-02,2023-12-29,587.6474043934813
300058.SZ,970,1457,0.665751544269046,11.0,1,0,1078032.5226804123,2020-01-02,2023-12-29,587.6408614657716
